id,data inicio operacao,data falha,situacao
1,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
2,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
3,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
4,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
5,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
6,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
7,2020-01-20 00:00:00,2023-04-01 00:00:00,failure
8,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
9,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
10,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
11,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
12,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
13,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
14,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
15,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
16,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
17,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
18,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
19,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
20,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
21,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
22,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
23,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
24,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
25,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
26,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
27,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
28,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
29,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
30,2020-01-20 00:00:00,2024-03-24 00:00:00,operating
